agent_id,total_calls,resolution_rate,coll_efficiency_perc
recusandae,sunt,ab,corrupti
laborum,omnis,alias,minus
sit,harum,aliquid,perspiciatis
ipsam,minima,deserunt,ex
repudiandae,voluptate,voluptates,fugit
libero,quas,modi,excepturi
minima,beatae,dolorem,consequuntur
nulla,sequi,doloremque,ea
fugiat,eaque,quis,perspiciatis
expedita,aspernatur,provident,impedit
pariatur,maxime,temporibus,cumque
ratione,tenetur,enim,tenetur
nostrum,voluptatibus,omnis,similique
facilis,fugiat,veritatis,dolorum
velit,nisi,numquam,quaerat
earum,debitis,unde,blanditiis
distinctio,explicabo,eaque,reprehenderit
numquam,incidunt,delectus,aperiam
eligendi,consequuntur,saepe,maiores
a,quam,quos,fugit
accusantium,dolorum,sunt,modi
velit,numquam,quasi,fugit
neque,dolor,animi,ex
cum,natus,placeat,illo
blanditiis,iusto,veritatis,natus
ipsam,illum,libero,minus
laboriosam,odit,maxime,officia
in,similique,impedit,consectetur
magni,ad,totam,enim
iure,facere,asperiores,adipisci
id,officia,repellat,impedit
aliquid,ipsa,veniam,fugiat
sunt,tenetur,deleniti,explicabo
sunt,molestias,placeat,quidem
corporis,non,ut,mollitia
nisi,repellat,facilis,dicta
suscipit,consequatur,rerum,aliquid
ipsam,assumenda,tempore,soluta
cupiditate,sint,maiores,ad
enim,illo,enim,provident
perspiciatis,beatae,vitae,numquam
nam,soluta,eius,veniam
itaque,sequi,corrupti,a
quas,rem,architecto,at
provident,molestiae,veniam,ratione
eum,veniam,hic,provident
assumenda,nobis,minima,facilis
quisquam,quod,expedita,neque
corporis,odit,ad,unde
asperiores,iste,distinctio,repudiandae
similique,exercitationem,alias,eum
labore,culpa,maiores,sint
illo,similique,ratione,exercitationem
minus,fugiat,voluptates,repellat
harum,aperiam,alias,totam
possimus,quisquam,aliquid,illum
dolorem,laborum,deserunt,similique
temporibus,culpa,tempora,odio
saepe,beatae,quo,similique
magnam,placeat,culpa,recusandae
esse,neque,rem,consequuntur
eligendi,dolore,porro,pariatur
eius,praesentium,perspiciatis,quibusdam
nam,quibusdam,saepe,amet
repellat,temporibus,in,culpa
ducimus,modi,deleniti,accusantium
voluptates,molestias,inventore,at
placeat,sed,a,eius
illo,asperiores,error,iste
sapiente,reprehenderit,necessitatibus,labore
minus,aliquid,explicabo,dolores
culpa,culpa,itaque,consectetur
saepe,impedit,deleniti,a
cumque,iure,architecto,quae
provident,in,vitae,hic
amet,cupiditate,dolorum,asperiores
exercitationem,quo,consequuntur,vel
assumenda,mollitia,corporis,hic
rem,maiores,beatae,vero
dolores,numquam,eius,possimus
rem,vero,temporibus,eveniet
modi,rerum,qui,eveniet
nobis,dignissimos,inventore,impedit
vel,quia,fugit,beatae
labore,in,sapiente,doloribus
assumenda,nesciunt,nostrum,incidunt
corporis,illo,nobis,error
iste,repellat,veritatis,reiciendis
sunt,exercitationem,quas,in
fugiat,commodi,rem,voluptas
eum,dolorem,necessitatibus,esse
laborum,animi,totam,vitae
officia,deleniti,ab,id
accusantium,vel,omnis,eligendi
placeat,impedit,expedita,debitis
totam,modi,porro,tempore
quisquam,itaque,debitis,natus
qui,blanditiis,ducimus,nesciunt
fugit,unde,exercitationem,nam
facere,pariatur,nobis,animi
incidunt,molestias,mollitia,fugit
officia,tempora,officia,asperiores
itaque,adipisci,fuga,minima
illo,fugit,consequuntur,et
voluptate,odio,facilis,corrupti
repellat,dolorem,voluptatem,expedita
dolor,accusantium,occaecati,tempora
sed,id,maiores,dolorum
laboriosam,incidunt,fugiat,occaecati
fugiat,error,odio,animi
harum,labore,magnam,consequatur
fugit,repellat,eum,est
reiciendis,ipsam,est,laudantium
soluta,harum,cumque,blanditiis
asperiores,laboriosam,vero,veritatis
odio,est,provident,repudiandae
mollitia,ullam,assumenda,autem
animi,possimus,dicta,tempora
laudantium,autem,totam,reprehenderit
vitae,sapiente,quis,itaque
harum,ipsum,quisquam,possimus
expedita,veritatis,necessitatibus,numquam
modi,amet,accusamus,unde
similique,eveniet,voluptatum,at
amet,quam,ullam,quos
porro,nam,saepe,quam
ad,ipsum,quidem,occaecati
aut,sit,quibusdam,deserunt
dicta,consectetur,dolore,odio
recusandae,soluta,repudiandae,mollitia
veritatis,recusandae,minus,esse
laborum,eos,ut,harum
nobis,dolor,ullam,deserunt
temporibus,nulla,assumenda,natus
fuga,totam,deserunt,doloremque
eaque,id,ipsum,iste
impedit,optio,consequatur,esse
voluptas,nesciunt,odio,eum
maxime,totam,quis,veritatis
voluptate,dolorem,quae,ea
aliquid,mollitia,rem,atque
repellendus,quae,in,vero
maiores,deserunt,asperiores,reiciendis
necessitatibus,voluptate,inventore,molestiae
