mapping_id,primary_cust_id,secondary_cust_id,relation_type,joint_hold_flag
molestiae,pariatur,quia,perferendis,ipsam
vero,praesentium,eius,unde,ut
numquam,est,expedita,quos,sunt
ut,inventore,cum,eius,adipisci
soluta,dolore,quaerat,facere,voluptas
cupiditate,quas,quibusdam,debitis,quia
illum,sequi,consequatur,delectus,officia
ut,quibusdam,fugit,dolorum,enim
maxime,facere,quas,cumque,mollitia
illo,occaecati,a,debitis,odit
nam,voluptas,maxime,eos,quae
veritatis,optio,excepturi,harum,porro
non,harum,qui,aliquid,facilis
iure,labore,distinctio,consequuntur,facere
vitae,quos,ducimus,soluta,nisi
cupiditate,ipsum,vitae,officia,aut
incidunt,eligendi,dolore,ab,qui
incidunt,incidunt,libero,fugiat,eos
minus,labore,distinctio,et,consequatur
saepe,fuga,mollitia,doloremque,voluptatibus
quam,ipsam,neque,laboriosam,eum
explicabo,quidem,a,quis,hic
voluptas,assumenda,delectus,aliquam,illum
doloribus,consequatur,tempora,consectetur,aliquid
magnam,molestiae,rem,sit,repellendus
atque,ducimus,corporis,exercitationem,accusantium
officia,aspernatur,omnis,repudiandae,asperiores
temporibus,voluptatibus,expedita,a,at
necessitatibus,assumenda,placeat,ullam,deleniti
fugiat,vero,hic,maiores,asperiores
vel,libero,esse,dolore,sequi
iste,illum,iusto,quod,in
aperiam,mollitia,voluptatibus,quia,consequatur
tempora,cum,molestiae,temporibus,numquam
debitis,voluptas,deleniti,dolores,nisi
vitae,ad,quo,quia,deleniti
nulla,quibusdam,quidem,vitae,quas
eaque,omnis,in,minus,libero
ipsum,labore,hic,fugit,deserunt
voluptates,quisquam,facilis,est,molestiae
quidem,tempora,rerum,qui,ea
dignissimos,molestiae,dolorem,consequuntur,consectetur
quae,cupiditate,quisquam,dolore,neque
dignissimos,non,magnam,assumenda,laborum
quidem,quaerat,laborum,fuga,ut
quo,deleniti,eligendi,voluptatum,odit
voluptas,dolorum,excepturi,officiis,vel
repellat,cumque,quis,laudantium,culpa
velit,earum,quia,tenetur,neque
delectus,aut,inventore,corporis,quos
quam,hic,vitae,eos,fugiat
aspernatur,ipsa,expedita,vitae,earum
libero,hic,quaerat,quis,voluptatibus
asperiores,aperiam,cupiditate,in,eveniet
veniam,sequi,illum,molestiae,doloremque
repellat,beatae,similique,rem,tempore
dolorum,omnis,similique,corrupti,minus
et,eius,numquam,modi,sequi
officia,sunt,ipsa,tenetur,tempore
commodi,iusto,ipsam,dolor,minima
sed,consectetur,veniam,tempora,nostrum
repudiandae,praesentium,voluptate,distinctio,nobis
quod,at,sapiente,sint,iste
laborum,placeat,excepturi,quibusdam,deserunt
aliquam,modi,beatae,nostrum,expedita
voluptas,laborum,dicta,autem,illo
eveniet,facere,autem,et,voluptatem
quas,perspiciatis,mollitia,rem,illo
similique,qui,ex,consectetur,nostrum
nihil,illum,odio,autem,ut
esse,nemo,velit,ex,totam
quidem,blanditiis,eum,assumenda,temporibus
incidunt,ab,consequuntur,libero,perferendis
dolore,dolorem,dignissimos,cumque,asperiores
quaerat,fuga,consequatur,ea,quisquam
nam,porro,illum,assumenda,eos
quae,dignissimos,nam,similique,culpa
quidem,similique,numquam,fugiat,dolorem
pariatur,culpa,aspernatur,et,maiores
eos,adipisci,labore,corporis,sapiente
autem,adipisci,nisi,officiis,porro
doloremque,enim,perferendis,aliquam,perspiciatis
exercitationem,quo,rem,ad,vero
vero,maxime,ad,autem,sequi
mollitia,magni,ea,est,velit
similique,facilis,dolores,debitis,officiis
suscipit,occaecati,dignissimos,molestias,expedita
odio,aperiam,ratione,odio,minus
veritatis,veniam,sint,iusto,non
saepe,hic,optio,fugiat,totam
quo,quas,consequatur,fugiat,eaque
nobis,placeat,quaerat,autem,unde
quo,amet,expedita,rem,ex
nisi,eos,corporis,facere,eius
suscipit,explicabo,sequi,repudiandae,nesciunt
vitae,quasi,optio,nesciunt,incidunt
soluta,perspiciatis,voluptas,sed,labore
modi,distinctio,sunt,voluptatum,cumque
id,doloribus,dolore,blanditiis,minima
vero,adipisci,ut,eligendi,aspernatur
veritatis,rerum,et,consequatur,tempore
sequi,delectus,eveniet,optio,aut
amet,iure,blanditiis,officia,tempora
saepe,molestiae,suscipit,fuga,illo
amet,quis,explicabo,sit,dolorem
pariatur,nesciunt,esse,praesentium,similique
illum,amet,incidunt,laboriosam,assumenda
voluptate,itaque,eum,at,corporis
rem,modi,in,quibusdam,asperiores
repellat,doloremque,quis,quo,quod
corporis,eaque,distinctio,ad,molestias
cumque,nisi,sunt,modi,iusto
sapiente,labore,facere,fugiat,odit
laudantium,cum,mollitia,iure,fugiat
voluptates,natus,itaque,reiciendis,doloremque
sequi,rem,eligendi,quaerat,dolorum
consectetur,magni,minima,culpa,voluptates
explicabo,facere,architecto,ab,architecto
assumenda,cum,itaque,officiis,natus
magnam,quam,laboriosam,molestias,placeat
ut,ipsam,iure,debitis,distinctio
nemo,illo,iusto,eligendi,totam
consequuntur,repellat,impedit,sapiente,voluptate
commodi,ut,autem,earum,nesciunt
eius,deserunt,in,incidunt,provident
occaecati,aliquid,unde,veniam,culpa
aspernatur,at,aperiam,itaque,quas
vero,necessitatibus,est,sapiente,illo
assumenda,possimus,dolore,ipsam,pariatur
harum,aliquam,quam,enim,eaque
ducimus,cumque,dolorum,ad,aperiam
iusto,culpa,in,ea,voluptate
rerum,facilis,dolores,quisquam,aliquam
eaque,deleniti,aperiam,inventore,perspiciatis
occaecati,aperiam,ipsa,nemo,hic
sed,voluptatum,fuga,perspiciatis,minima
ipsam,voluptatibus,quos,vel,facilis
qui,voluptate,exercitationem,doloremque,vel
sed,amet,repellat,inventore,esse
eaque,minima,officia,voluptatum,dolore
cupiditate,reprehenderit,voluptates,ab,aperiam
voluptatibus,dolore,dolorem,ea,id
ducimus,et,doloremque,laboriosam,quasi
ipsum,nemo,sint,magni,similique
iure,sit,veniam,omnis,et
laboriosam,excepturi,recusandae,ducimus,totam
reprehenderit,eveniet,exercitationem,deserunt,velit
debitis,sed,quas,quaerat,illo
voluptatibus,voluptas,sint,magnam,possimus
reprehenderit,atque,corporis,officia,consectetur
quod,iure,ab,explicabo,laborum
praesentium,repellendus,voluptatem,nobis,optio
ipsam,quidem,accusantium,quisquam,totam
dolore,asperiores,reiciendis,eos,quibusdam
ratione,earum,sed,vero,perspiciatis
tempore,vitae,recusandae,asperiores,tempora
nobis,fugit,beatae,consequatur,magnam
laboriosam,beatae,fuga,doloremque,nisi
quaerat,ex,accusamus,et,ut
nam,voluptatum,nesciunt,doloremque,nulla
molestiae,excepturi,aliquam,a,excepturi
eaque,rerum,rem,autem,nulla
rerum,possimus,doloribus,repellat,deleniti
magnam,nemo,eaque,mollitia,vero
rem,minus,harum,fuga,illum
ut,sapiente,vero,architecto,assumenda
eligendi,cumque,culpa,rem,a
corporis,temporibus,provident,nam,modi
deleniti,quisquam,officiis,ex,natus
commodi,excepturi,voluptate,sequi,repellat
esse,voluptate,accusantium,consequatur,distinctio
ratione,labore,quod,soluta,quo
magnam,necessitatibus,tempore,earum,fugit
laboriosam,vitae,facere,totam,possimus
provident,voluptatibus,voluptatum,aspernatur,suscipit
voluptates,dolores,corrupti,libero,dolorem
cumque,eos,repudiandae,quo,illum
consequuntur,eveniet,nihil,autem,commodi
qui,nulla,quibusdam,explicabo,minus
voluptatum,dolore,fugiat,sit,officiis
accusantium,dolor,ipsa,enim,fuga
eaque,dolores,cupiditate,animi,sit
aliquam,nam,nulla,deleniti,quo
mollitia,id,placeat,assumenda,maxime
ad,impedit,officia,molestias,voluptates
voluptatibus,delectus,quam,inventore,totam
fugiat,natus,minus,optio,omnis
totam,vitae,dolore,optio,omnis
ipsam,molestias,quam,magni,nihil
tempore,rerum,quaerat,expedita,ipsa
quam,quibusdam,ipsum,debitis,neque
officiis,tenetur,iusto,facere,sunt
sapiente,illo,quas,id,autem
ducimus,unde,atque,neque,aut
corporis,laboriosam,dolores,amet,non
consequatur,doloribus,tempore,qui,nostrum
velit,nesciunt,fuga,explicabo,vero
inventore,quo,architecto,laboriosam,eum
voluptate,perferendis,saepe,nobis,eligendi
velit,corporis,omnis,accusamus,molestias
earum,laborum,nostrum,unde,alias
provident,excepturi,beatae,facilis,illum
doloribus,ad,aperiam,cum,quibusdam
culpa,voluptatum,reiciendis,quos,quod
maiores,natus,molestias,atque,hic
incidunt,nobis,nam,dolore,perferendis
neque,facilis,sed,ut,dolore
dignissimos,veniam,ipsum,occaecati,assumenda
maiores,corporis,eos,similique,inventore
tempora,vel,harum,illo,quod
facere,excepturi,dignissimos,quam,quidem
dolore,cumque,fuga,repudiandae,maiores
occaecati,voluptatem,minima,voluptatem,mollitia
quidem,deleniti,id,vel,aliquam
harum,sequi,eius,ipsam,impedit
doloremque,corporis,alias,similique,totam
quo,a,facilis,esse,maxime
ratione,omnis,nemo,hic,ea
reiciendis,quos,deleniti,accusantium,nemo
similique,assumenda,voluptatibus,alias,eligendi
recusandae,minus,ipsum,rerum,dolores
nostrum,consectetur,doloremque,expedita,ipsa
laboriosam,reprehenderit,explicabo,officia,non
sapiente,facere,eligendi,atque,repellat
fuga,perspiciatis,debitis,veniam,eum
veritatis,nostrum,quibusdam,dolore,vero
molestiae,voluptatum,delectus,ut,ut
modi,possimus,earum,autem,officiis
earum,cupiditate,deleniti,laboriosam,perferendis
nobis,veritatis,illum,nihil,nam
nihil,soluta,pariatur,nesciunt,repellat
quisquam,aspernatur,exercitationem,tempore,eum
omnis,itaque,consequuntur,consectetur,quasi
vero,ullam,fuga,nesciunt,fugit
ipsum,itaque,quae,cum,dolore
doloremque,tenetur,non,quasi,voluptates
veritatis,illum,ea,cum,magnam
pariatur,est,amet,odit,numquam
nostrum,harum,atque,laborum,quis
omnis,rem,distinctio,harum,numquam
nulla,eos,ipsum,omnis,necessitatibus
sit,occaecati,vitae,nihil,enim
similique,debitis,aliquid,perferendis,ea
odio,reiciendis,quia,similique,porro
nobis,aliquam,ducimus,sit,temporibus
maxime,pariatur,eos,sapiente,porro
odit,fugit,quia,atque,dignissimos
eligendi,distinctio,dolores,sapiente,mollitia
dicta,voluptates,maiores,eos,culpa
quis,reiciendis,voluptate,officiis,eveniet
labore,corporis,autem,excepturi,eum
facere,sint,aspernatur,nulla,veniam
vel,illum,veniam,a,blanditiis
explicabo,cupiditate,blanditiis,aliquid,aperiam
illum,architecto,totam,voluptatum,eum
quae,odit,consequatur,sed,corrupti
tempora,voluptate,libero,at,aliquid
laborum,exercitationem,quidem,eius,sint
itaque,quibusdam,distinctio,tempore,ipsam
accusamus,suscipit,ducimus,dignissimos,eos
explicabo,doloremque,asperiores,ea,consequatur
inventore,adipisci,nam,laboriosam,nemo
necessitatibus,sequi,nulla,occaecati,maxime
magni,nisi,porro,fuga,autem
corporis,voluptatum,amet,accusantium,nemo
tempore,laudantium,ipsa,iusto,nostrum
sed,quas,veritatis,ducimus,voluptates
quae,alias,consectetur,culpa,necessitatibus
molestias,voluptas,unde,aliquid,consequuntur
animi,et,voluptatum,consequatur,qui
assumenda,dignissimos,saepe,consequuntur,asperiores
minima,praesentium,fugiat,molestias,perferendis
quod,fuga,facilis,rerum,maxime
repellat,non,assumenda,delectus,iure
consectetur,eveniet,hic,itaque,esse
quae,suscipit,odio,eos,nostrum
modi,neque,inventore,sapiente,ut
expedita,molestiae,quia,est,quasi
iure,provident,facilis,vitae,amet
reprehenderit,reprehenderit,sint,tempore,exercitationem
sed,placeat,accusamus,molestias,nam
in,alias,in,occaecati,doloribus
perspiciatis,nisi,assumenda,sapiente,cumque
tempore,totam,sint,laudantium,sapiente
ipsum,perferendis,quasi,molestias,similique
saepe,praesentium,esse,voluptatum,quae
magnam,quisquam,perspiciatis,nisi,enim
odit,nam,libero,molestias,temporibus
dolores,nulla,hic,nisi,facilis
suscipit,quos,cupiditate,dicta,dolores
quidem,earum,fuga,omnis,minus
sunt,et,nobis,ad,asperiores
occaecati,quo,natus,asperiores,quae
eos,harum,rem,accusamus,ipsa
excepturi,quibusdam,illo,consectetur,neque
illo,ducimus,quam,itaque,quod
saepe,porro,amet,voluptatibus,adipisci
soluta,repellendus,laudantium,tempora,vero
voluptatibus,mollitia,quidem,harum,nostrum
exercitationem,aliquid,ipsam,expedita,iure
dolore,esse,impedit,tenetur,temporibus
culpa,fuga,et,placeat,est
et,quas,tempore,sunt,voluptatibus
aperiam,assumenda,excepturi,excepturi,ipsa
quae,distinctio,sunt,tenetur,rerum
suscipit,voluptatum,id,doloribus,hic
nobis,assumenda,quod,consequuntur,tenetur
hic,facere,doloribus,culpa,tempora
nesciunt,dolor,a,veniam,pariatur
placeat,eius,veniam,dolores,amet
voluptas,animi,vitae,itaque,optio
quaerat,quod,perspiciatis,rem,eaque
quibusdam,dolore,enim,voluptates,iure
impedit,maiores,quos,maiores,veritatis
ex,eligendi,optio,tempora,laudantium
consequuntur,totam,unde,in,doloribus
excepturi,asperiores,expedita,provident,veritatis
magnam,nam,ullam,tenetur,laborum
sequi,soluta,tempore,laudantium,fugiat
enim,non,labore,quod,iste
