loan_id,asset_type,valuation_amt,ltv_ratio,insurance_expiry
56084,consequatur,corrupti,sed,rem
71551,voluptas,fuga,molestias,similique
12449,saepe,sint,atque,asperiores
73309,similique,pariatur,deserunt,soluta
22619,fuga,fugit,quibusdam,nulla
39533,deleniti,ipsum,praesentium,placeat
58240,iure,minima,doloribus,repudiandae
89880,reiciendis,laborum,incidunt,illo
22324,sapiente,optio,incidunt,tempore
99382,totam,dignissimos,aliquid,sapiente
75386,inventore,deleniti,delectus,reiciendis
36445,perspiciatis,iusto,error,dicta
61005,enim,tempora,est,hic
87248,placeat,ut,hic,dolorum
17542,exercitationem,laborum,quos,saepe
38344,ullam,quaerat,cumque,unde
73843,doloremque,eaque,reprehenderit,quos
75281,libero,cumque,officia,animi
97465,non,distinctio,nesciunt,rerum
50615,consectetur,exercitationem,nihil,impedit
65576,eligendi,tenetur,accusamus,exercitationem
80624,quas,harum,beatae,molestias
93149,cum,dolorum,molestias,distinctio
61571,magnam,exercitationem,harum,repudiandae
22319,dignissimos,sed,magni,ab
75152,quisquam,quisquam,eaque,atque
89183,tenetur,accusamus,natus,ipsum
65988,repellat,praesentium,dolorem,expedita
60307,blanditiis,aperiam,blanditiis,provident
83328,a,ducimus,quo,numquam
65274,voluptatibus,voluptatum,ea,aliquam
12381,iusto,nesciunt,quibusdam,ad
30074,recusandae,perferendis,nihil,pariatur
56317,aliquam,recusandae,voluptas,nemo
22482,placeat,dolore,voluptas,inventore
48533,doloremque,rem,beatae,laboriosam
15973,cumque,quibusdam,voluptates,reprehenderit
74268,reprehenderit,laborum,laborum,similique
85464,voluptatum,fuga,vel,odit
21640,harum,dolorum,aperiam,officia
21091,hic,soluta,eveniet,modi
79467,nihil,ab,voluptatibus,sunt
46306,ea,natus,eaque,quia
90124,omnis,blanditiis,quae,delectus
40795,dignissimos,vero,nam,debitis
28710,id,eligendi,ex,doloribus
73804,laudantium,eum,blanditiis,quaerat
56763,recusandae,nihil,doloremque,harum
62961,veniam,incidunt,veritatis,illum
57607,officia,dolorum,in,debitis
78960,odit,architecto,deserunt,odio
65706,harum,molestiae,error,tempore
27383,aperiam,voluptate,ut,rem
93498,dicta,eius,pariatur,cum
48711,laudantium,soluta,mollitia,accusantium
37807,atque,ad,facere,vel
89749,consequatur,tempora,minus,voluptas
71708,dignissimos,illo,similique,magni
10211,ratione,eum,odio,blanditiis
95501,rem,delectus,voluptatum,placeat
75976,odit,atque,cumque,quasi
45267,beatae,occaecati,amet,fugiat
29650,impedit,distinctio,iure,nobis
54709,laboriosam,ipsum,adipisci,expedita
74471,facere,autem,voluptatum,numquam
69933,autem,aperiam,necessitatibus,unde
76011,illum,explicabo,molestias,maiores
71655,possimus,numquam,vel,facilis
43846,sed,ducimus,voluptas,incidunt
25048,rem,repellendus,quam,deserunt
49568,explicabo,pariatur,quos,occaecati
15422,sit,maiores,necessitatibus,necessitatibus
65302,assumenda,sit,architecto,natus
62195,voluptates,amet,tempora,distinctio
41252,nam,sed,maiores,nobis
88365,culpa,blanditiis,culpa,perferendis
11632,odit,soluta,quaerat,totam
99296,maiores,earum,autem,eveniet
56213,fugiat,quae,alias,odio
23112,est,eaque,eius,quaerat
39318,eius,velit,ipsa,quaerat
14949,enim,accusantium,labore,commodi
44042,quaerat,fugit,suscipit,voluptatem
63749,voluptas,ex,fuga,vel
95736,cum,eius,fuga,vero
49267,quidem,architecto,aliquid,vero
97126,doloremque,autem,voluptatum,saepe
81574,harum,velit,odit,id
49209,voluptate,veniam,adipisci,dignissimos
42459,veniam,sint,reprehenderit,expedita
70272,minus,quod,voluptatibus,in
90873,numquam,consequatur,blanditiis,fugit
57166,ab,voluptates,autem,sint
96780,facere,suscipit,repellendus,sequi
12240,expedita,non,accusantium,perspiciatis
80720,quo,eveniet,omnis,magni
29294,dolorem,magni,repudiandae,ipsa
72357,qui,quos,velit,minus
38745,magnam,voluptatibus,expedita,esse
33512,molestias,eligendi,voluptatum,eligendi
56859,earum,nesciunt,voluptatibus,esse
26051,architecto,et,recusandae,autem
43720,nulla,molestiae,maiores,hic
82578,nam,qui,quo,perspiciatis
20229,quod,facilis,quo,eum
16678,occaecati,dolorem,pariatur,omnis
81466,magnam,sapiente,illum,minima
96384,deleniti,quia,dignissimos,pariatur
33980,eum,voluptate,perspiciatis,id
52844,officiis,fugiat,accusamus,vel
64677,minus,ducimus,vero,cupiditate
12742,ipsa,nulla,soluta,rem
49858,vitae,eos,quo,fugit
37888,quibusdam,dolores,perferendis,culpa
90603,impedit,tempora,quam,velit
10194,debitis,optio,unde,omnis
67769,harum,voluptatem,autem,placeat
70973,minima,quos,non,rerum
44246,magnam,qui,assumenda,facere
59365,ipsum,ipsa,vitae,dicta
22106,eligendi,ad,perferendis,dolores
82117,similique,ratione,labore,ducimus
12420,facere,dolorem,ad,laboriosam
96930,aliquid,blanditiis,earum,unde
74657,accusamus,rem,omnis,asperiores
26118,odio,voluptatibus,laboriosam,nulla
17016,minima,hic,voluptates,harum
80245,dolorem,iure,vero,suscipit
12063,impedit,eaque,voluptatem,reprehenderit
29952,sapiente,repudiandae,aliquam,nesciunt
18264,nemo,illum,facere,fuga
19923,repellendus,exercitationem,aperiam,dolore
41559,quam,qui,a,quidem
18035,suscipit,possimus,blanditiis,culpa
21296,commodi,ullam,eum,sapiente
30250,quod,est,corrupti,dicta
16902,quia,quae,perferendis,suscipit
65875,expedita,alias,amet,delectus
56612,esse,consequuntur,veritatis,labore
29067,fugit,sequi,aliquid,illo
17850,similique,beatae,provident,doloremque
47947,hic,amet,suscipit,beatae
86469,consequuntur,nulla,aliquid,asperiores
62604,reiciendis,architecto,deleniti,at
87562,voluptatibus,esse,enim,rerum
76142,quisquam,atque,nesciunt,quod
54532,sequi,quisquam,officia,quod
54853,ipsum,beatae,suscipit,natus
48348,a,facilis,nulla,ad
13478,recusandae,eaque,blanditiis,itaque
30875,similique,suscipit,veritatis,repellendus
45182,eos,alias,modi,ipsam
40067,dolore,laboriosam,commodi,facere
98621,delectus,animi,aut,iste
60149,iste,ea,nihil,ipsum
72914,impedit,aut,ipsum,dignissimos
69502,fugiat,reiciendis,asperiores,maiores
37483,eveniet,repellat,reprehenderit,a
92174,quos,error,rem,ipsum
60191,inventore,esse,fugiat,itaque
43375,itaque,libero,explicabo,temporibus
28276,non,consequuntur,asperiores,aliquam
52428,sapiente,mollitia,molestiae,iure
47061,reprehenderit,enim,molestiae,magni
72592,accusantium,voluptate,corrupti,inventore
12710,nemo,eaque,optio,aut
55831,facere,ad,ipsum,ipsam
91919,vero,ab,magni,provident
45186,natus,autem,libero,deserunt
97092,eos,sit,mollitia,iure
22934,perspiciatis,eius,porro,iste
38094,atque,odio,cupiditate,repellat
77227,quidem,at,cum,illum
36249,omnis,mollitia,eveniet,blanditiis
98921,in,cumque,pariatur,iure
71322,eos,voluptatem,nemo,quae
25867,rerum,voluptate,illo,in
85188,explicabo,cupiditate,dolor,reprehenderit
26033,nostrum,eius,quaerat,blanditiis
31272,omnis,earum,ipsum,molestias
96611,nobis,expedita,vitae,debitis
10532,odio,mollitia,quisquam,laboriosam
26182,repellendus,eligendi,delectus,a
36976,expedita,esse,dolorem,inventore
16005,modi,sit,eos,magnam
88987,cumque,molestias,deleniti,velit
74149,quas,velit,ut,consequatur
59907,nobis,iusto,illum,explicabo
50054,inventore,optio,atque,corrupti
96039,autem,ex,nihil,quia
15265,quisquam,at,facere,est
90346,velit,in,fugiat,praesentium
96293,nesciunt,officiis,magni,dicta
21225,quia,enim,mollitia,expedita
30381,veniam,incidunt,laboriosam,commodi
93356,amet,quo,consectetur,quas
95364,iste,vero,fugit,corrupti
91831,adipisci,laborum,eligendi,perferendis
97233,quis,facilis,neque,quam
50391,voluptas,officia,tempora,amet
44638,distinctio,ab,fugit,accusamus
98003,vel,delectus,quia,recusandae
50311,maiores,quas,nisi,inventore
67002,voluptatibus,sequi,doloribus,tempore
39453,saepe,ipsa,unde,facilis
11671,quibusdam,maxime,porro,dolores
30743,libero,molestiae,cumque,ab
40042,ut,accusantium,vitae,similique
10406,tempore,recusandae,rerum,consectetur
26294,illum,occaecati,natus,minima
79586,omnis,inventore,corrupti,cupiditate
72388,molestiae,blanditiis,repellendus,aliquid
20438,fuga,beatae,dolor,voluptatem
61040,quaerat,aut,at,velit
42150,dolorem,ipsam,sint,maiores
82676,nam,nemo,laboriosam,ex
19312,consequuntur,excepturi,impedit,officia
67632,sequi,minima,iure,in
48639,reprehenderit,in,provident,veniam
94616,cumque,totam,tempora,dolorum
41197,maxime,asperiores,officiis,labore
27256,earum,ratione,deleniti,officia
60157,veniam,commodi,facere,amet
42749,hic,porro,architecto,saepe
27035,fugiat,iusto,rerum,possimus
67690,vitae,libero,dolores,atque
62619,ullam,accusantium,sunt,aliquam
69985,illum,hic,dignissimos,ab
58218,itaque,tempora,eos,temporibus
23514,molestiae,asperiores,pariatur,minus
52935,maiores,voluptatem,illo,repudiandae
27835,repellendus,asperiores,nobis,cupiditate
17006,explicabo,quaerat,maiores,necessitatibus
43318,ratione,a,quia,labore
40957,at,laudantium,voluptatibus,quis
67749,sapiente,quo,ea,non
28470,voluptas,labore,autem,iusto
70944,ab,consequatur,omnis,excepturi
55304,quos,sit,eos,sapiente
19988,unde,deleniti,atque,culpa
23957,eaque,quasi,dolore,molestias
75213,porro,atque,quam,perspiciatis
82351,tempore,incidunt,eius,cumque
14816,dolore,pariatur,atque,tempora
80633,sint,veritatis,sed,quidem
71690,voluptatem,dolorem,laborum,molestiae
52786,occaecati,culpa,molestiae,dolorum
43141,est,quisquam,provident,laborum
23309,itaque,maiores,alias,eius
81376,laborum,facere,similique,quis
17548,officia,numquam,amet,quisquam
60741,ex,reprehenderit,aut,possimus
42137,iusto,necessitatibus,culpa,iste
49338,neque,modi,illum,fugiat
41023,dignissimos,ab,architecto,a
36894,nam,neque,dicta,est
42580,vel,velit,quisquam,neque
79785,nihil,architecto,fuga,ipsa
40843,architecto,doloribus,deleniti,laudantium
11803,nihil,reprehenderit,dolore,illo
41160,excepturi,deleniti,consequuntur,tempora
22409,eveniet,similique,nihil,non
91528,eum,velit,nemo,repudiandae
94443,optio,omnis,voluptate,eum
68165,fuga,ipsum,excepturi,magni
75354,in,sit,aliquam,quae
80681,laborum,consequatur,ex,corporis
71905,cum,maiores,maiores,tempore
33645,eius,veritatis,mollitia,aut
28578,deserunt,magni,ratione,assumenda
74960,eligendi,itaque,dolor,sunt
14766,laborum,facere,provident,ut
64670,libero,fugiat,assumenda,quibusdam
89210,quis,earum,iure,aliquam
52806,laudantium,exercitationem,eius,fugiat
81359,assumenda,repellat,laboriosam,alias
34494,nobis,nulla,amet,commodi
42202,architecto,illum,quasi,id
